antname,x,y
LWA-001,67.38,74.89
LWA-002,64.16,65.3
LWA-003,74.19,61.74
LWA-004,62.86,47.03
LWA-005,83.91,42.51
LWA-006,70.74,36.67
LWA-007,91.31,35.91
LWA-008,71.23,31.3
LWA-009,70.07,23.97
LWA-010,61.07,21.66
LWA-011,80.94,19.28
LWA-012,80.2,12.74
LWA-013,72.36,5.93
LWA-014,60.49,5.58
LWA-015,95.93,0.6
LWA-016,89.39,0.13
LWA-017,73.9,-6.23
LWA-018,91.97,-7.18
LWA-019,65.5,-14.54
LWA-020,78.06,-16.42
LWA-021,101.49,-20.37
LWA-022,67.44,-22.83
LWA-023,86.06,-26.99
LWA-024,62.44,-28.5
LWA-025,92.89,-31.96
LWA-026,69.66,-35.02
LWA-027,81.64,-35.09
LWA-028,63.86,-43.77
LWA-029,97.69,-49.39
LWA-030,80.82,-52.15
LWA-031,64.65,-55.02
LWA-032,67.17,-69.15
LWA-033,43.7,92.36
LWA-034,56.63,73.44
LWA-035,43.69,66.34
LWA-036,35.02,64.87
LWA-037,43.58,56.87
LWA-038,55.48,56.96
LWA-039,35.38,55.96
LWA-040,47.11,51.1
LWA-041,34.55,40.88
LWA-042,51.86,38.71
LWA-043,42.7,25.69
LWA-044,53.29,20.8
LWA-045,41.56,15.78
LWA-046,56.09,12.97
LWA-047,41.05,7.4
LWA-048,36.79,-1.81
LWA-049,43.65,-5.23
LWA-050,48.2,-7.47
LWA-051,37.92,-10.66
LWA-052,45.44,-11.8
LWA-053,45.31,-18.39
LWA-054,43.79,-26.47
LWA-055,48.05,-34.37
LWA-056,38.32,-34.61
LWA-057,43.67,-43.05
LWA-058,53.52,-48.51
LWA-059,43.24,-56.36
LWA-060,51.23,-61.6
LWA-061,36.71,-64.97
LWA-062,56.32,-72.8
LWA-063,41.6,-88.74
LWA-064,46.59,-89.17
LWA-065,27.82,98.83
LWA-066,30.98,89.23
LWA-067,23.48,83.2
LWA-068,29.68,76.7
LWA-069,26.91,66.71
LWA-070,16.46,54.02
LWA-071,26.46,34.64
LWA-072,16.79,30.87
LWA-073,30.57,29.28
LWA-074,33.24,20
LWA-075,21.38,18.09
LWA-076,20.05,9.58
LWA-077,30.38,9.27
LWA-078,25.1,6.11
LWA-079,17.74,2.59
LWA-080,31.52,-5.31
LWA-081,21.03,-8.76
LWA-082,24.26,-16.52
LWA-083,30.85,-18.69
LWA-084,34.2,-22.48
LWA-085,23.83,-30.08
LWA-086,32.31,-33.06
LWA-087,18.88,-37.89
LWA-088,28.7,-44.13
LWA-089,17.56,-52.75
LWA-090,25.28,-60.62
LWA-091,24.42,-67.79
LWA-092,30.33,-74.78
LWA-093,31.45,-83.43
LWA-094,17.76,-84.23
LWA-095,27.31,-93.14
LWA-096,19.66,-96.74
LWA-097,10.06,100.91
LWA-098,10.35,77.3
LWA-099,11.32,67.4
LWA-100,4.4,59.04
LWA-101,10.63,51.16
LWA-102,-0.81,50.82
LWA-103,2.93,46.32
LWA-104,12.03,45.02
LWA-105,12.98,38
