antname,elevation,x,y
LWA-001,1182.97,67.38,74.89
LWA-002,1182.73,64.16,65.3
LWA-003,1183.28,74.19,61.74
LWA-004,1182.8,62.86,47.03
LWA-005,1183.14,83.91,42.51
LWA-006,1182.88,70.74,36.67
LWA-007,1183.13,91.31,35.91
LWA-008,1182.76,71.23,31.3
LWA-009,1182.63,70.07,23.97
LWA-010,1182.63,61.07,21.66
LWA-011,1182.69,80.94,19.28
LWA-012,1182.64,80.2,12.74
LWA-013,1182.49,72.36,5.93
LWA-014,1182.75,60.49,5.58
LWA-015,1182.8,95.93,0.6
LWA-016,1182.51,89.39,0.13
LWA-017,1182.52,73.9,-6.23
LWA-018,1182.59,91.97,-7.18
LWA-019,1182.55,65.5,-14.54
LWA-020,1182.64,78.06,-16.42
LWA-021,1183.28,101.49,-20.37
LWA-022,1182.51,67.44,-22.83
LWA-023,1182.84,86.06,-26.99
LWA-024,1182.47,62.44,-28.5
LWA-025,1182.96,92.89,-31.96
LWA-026,1182.39,69.66,-35.02
LWA-027,1182.78,81.64,-35.09
LWA-028,1182.43,63.86,-43.77
LWA-029,1182.41,97.69,-49.39
LWA-030,1182.34,80.82,-52.15
LWA-031,1182.45,64.65,-55.02
LWA-032,1182.81,67.17,-69.15
LWA-033,1182.89,43.7,92.36
LWA-034,1182.58,56.63,73.44
LWA-035,1182.65,43.69,66.34
LWA-036,1182.75,35.02,64.87
LWA-037,1182.71,43.58,56.87
LWA-038,1182.42,55.48,56.96
LWA-039,1182.76,35.38,55.96
LWA-040,1182.67,47.11,51.1
LWA-041,1182.88,34.55,40.88
LWA-042,1182.68,51.86,38.71
LWA-043,1182.93,42.7,25.69
LWA-044,1182.77,53.29,20.8
LWA-045,1182.83,41.56,15.78
LWA-046,1182.7,56.09,12.97
LWA-047,1182.78,41.05,7.4
LWA-048,1182.6,36.79,-1.81
LWA-049,1182.58,43.65,-5.23
LWA-050,1182.6,48.2,-7.47
LWA-051,1182.68,37.92,-10.66
LWA-052,1182.58,45.44,-11.8
LWA-053,1182.67,45.31,-18.39
LWA-054,1182.68,43.79,-26.47
LWA-055,1182.58,48.05,-34.37
LWA-056,1182.5,38.32,-34.61
LWA-057,1182.35,43.67,-43.05
LWA-058,1182.29,53.52,-48.51
LWA-059,1182.35,43.24,-56.36
LWA-060,1182.42,51.23,-61.6
LWA-061,1182.49,36.71,-64.97
LWA-062,1182.48,56.32,-72.8
LWA-063,1182.59,41.6,-88.74
LWA-064,1182.58,46.59,-89.17
LWA-065,1182.95,27.82,98.83
LWA-066,1182.77,30.98,89.23
LWA-067,1182.72,23.48,83.2
LWA-068,1182.69,29.68,76.7
LWA-069,1182.8,26.91,66.71
LWA-070,1182.68,16.46,54.02
LWA-071,1182.89,26.46,34.64
LWA-072,1182.49,16.79,30.87
LWA-073,1182.84,30.57,29.28
LWA-074,1182.82,33.24,20
LWA-075,1182.67,21.38,18.09
LWA-076,1182.8,20.05,9.58
LWA-077,1182.67,30.38,9.27
LWA-078,1182.95,25.1,6.11
LWA-079,1183.08,17.74,2.59
LWA-080,1182.76,31.52,-5.31
LWA-081,1183.1,21.03,-8.76
LWA-082,1183.03,24.26,-16.52
LWA-083,1182.93,30.85,-18.69
LWA-084,1182.85,34.2,-22.48
LWA-085,1182.77,23.83,-30.08
LWA-086,1182.66,32.31,-33.06
LWA-087,1182.45,18.88,-37.89
LWA-088,1182.26,28.7,-44.13
LWA-089,1182.49,17.56,-52.75
LWA-090,1182.59,25.28,-60.62
LWA-091,1182.69,24.42,-67.79
LWA-092,1182.74,30.33,-74.78
LWA-093,1182.73,31.45,-83.43
LWA-094,1182.7,17.76,-84.23
LWA-095,1182.57,27.31,-93.14
LWA-096,1182.64,19.66,-96.74
LWA-097,1182.89,10.06,100.91
LWA-098,1183.12,10.35,77.3
